model,accuracy,precision,recall,f1,auc,cv_mean,cv_std
Random Forest,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.5416666666666666,0.11785113019775792
Gradient Boosting,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777779,0.625,0.10206207261596575
SVM (RBF),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.4583333333333333,0.05892556509887896
Logistic Regression,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222224,0.4583333333333333,0.05892556509887896
Random Forest (Sequence),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5833333333333334,0.05892556509887896
Gradient Boosting (Sequence),0.5,0.5,0.3333333333333333,0.4,0.4444444444444445,0.375,0.10206207261596575
SVM (RBF) (Sequence),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4444444444444445,0.5833333333333334,0.05892556509887896
Logistic Regression (Sequence),0.5,0.5,0.6666666666666666,0.5714285714285714,0.4444444444444445,0.5,0.10206207261596575
